[2026-07-16 09:43:59][INFO] 从配置加载了 36 个种子URL
[2026-07-16 09:46:09][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6342.htm] 25979 bytes
[2026-07-16 09:46:09][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6354.htm] 25071 bytes
[2026-07-16 09:46:10][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6353.htm] 22283 bytes
[2026-07-16 09:46:10][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6351.htm] 20124 bytes
[2026-07-16 09:46:11][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6350.htm] 25548 bytes
[2026-07-16 09:46:12][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6348.htm] 37904 bytes
[2026-07-16 09:46:12][INFO] 抓取成功 [https://art.scu.edu.cn/index/tzgg/29.htm] 21175 bytes
[2026-07-16 09:46:13][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6372.htm] 23466 bytes
[2026-07-16 09:46:13][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6371.htm] 65626 bytes
[2026-07-16 09:46:14][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6366.htm] 41544 bytes
[2026-07-16 09:46:14][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6362.htm] 23846 bytes
[2026-07-16 09:46:15][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6373.htm] 29735 bytes
[2026-07-16 09:46:15][INFO] 抓取成功 [https://art.scu.edu.cn/info/1048/6370.htm] 51026 bytes
